City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Lefka,CY,87.08,clear sky,35.1106,32.8506,Direk Hotel
460,Guanare,VE,82.42,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
461,Tawang,IN,62.42,overcast clouds,27.5833,91.8667,Hotel Mount View
462,Ormara,PK,84.2,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
464,Veshenskaya,RU,66.27,clear sky,49.6303,41.7334,Kazachiy Kuren'. Muzey Sholokhova
465,Karratha,AU,80.55,few clouds,-20.7377,116.8463,ibis Styles Karratha
466,Manggar,ID,85.51,broken clouds,-2.8833,108.2667,Guest Hotel
467,Houma,US,80.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
468,Obigarm,TJ,89.71,clear sky,38.7173,69.7088,Гармоба
471,Winchester,GB,73.42,clear sky,51.0651,-1.3187,Lainston House
473,Onguday,RU,62.2,broken clouds,50.75,86.15,Barskaya Usad'ba
474,Longview,US,88.05,clear sky,32.5007,-94.7405,Homewood Suites by Hilton Longview
475,Langsa,ID,81.52,moderate rain,4.4683,97.9683,OYO 3328 Hotel Mori
476,Fort Nelson,CA,60.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
478,Zhuhai,CN,89.38,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
479,Uige,AO,63.37,broken clouds,-7.6087,15.0613,Hotel Catraio
480,Nikel,RU,60.98,broken clouds,69.4128,30.222,Severnoe Siyanie
481,Altoona,US,71.22,broken clouds,40.5187,-78.3947,Cedar Grove Motel
482,Tautira,PF,76.24,light rain,-17.7333,-149.15,Pension Oaoa
483,Dalnegorsk,RU,77.5,overcast clouds,44.5604,135.5701,Dalnegorsk
484,Goderich,CA,73.72,clear sky,43.7501,-81.7165,Harmony Inn
486,Chimbote,PE,61.32,overcast clouds,-9.0853,-78.5783,Hotel Briliá
487,Oktyabrskiy,RU,74.86,scattered clouds,54.4815,53.471,Гостиница Октябрьская
488,Saint-Denis,FR,77.77,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
489,Chernyshevskiy,RU,71.13,clear sky,63.0128,112.4714,Chernyseyskiy
491,Amazar,RU,82.4,clear sky,53.858,120.875,Гостиничный Комплекс Уют
493,Roquetas De Mar,ES,77.61,clear sky,36.7642,-2.6148,Mediterráneo Bay Hotel and Resort
495,Caborca,MX,81.79,overcast clouds,30.5838,-111.101,Hotel Los Lagos
496,Sechura,PE,62.64,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
497,Selcuk,TR,76.41,clear sky,37.9514,27.3685,Archeologica House Ephesus
498,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
499,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
501,Itacoatiara,BR,76.06,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
502,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
504,Mandera,KE,75.33,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
505,Sao Gabriel Da Cachoeira,BR,71.8,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
506,Channel-Port Aux Basques,CA,62.62,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
507,Vikulovo,RU,71.64,clear sky,56.8167,70.6107,"Ooo ""Sistema Stroy"""
508,Dudinka,RU,67.62,scattered clouds,69.4058,86.1778,Hotel Viktoria
509,San Quintin,MX,68.85,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
511,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
512,Tupelo,US,79.09,scattered clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
513,Rincon,US,79.86,clear sky,32.296,-81.2354,Days Inn Rincon
