City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Zhenjiang,CN,32.2092,119.4342,93.38,48,70,0.67,broken clouds
116,Cortez,US,37.3489,-108.5859,76.03,44,0,8.05,clear sky
117,Shingu,JP,33.7333,135.9833,81.72,88,100,14.65,light rain
118,Havelock,US,34.8791,-76.9013,84.18,88,20,12.66,few clouds
119,Tasiilaq,GL,65.6145,-37.6368,33.96,87,8,2.57,clear sky
120,Sinnar,SD,13.5691,33.5672,76.55,79,99,21.39,overcast clouds
121,Aginskoye,RU,51.1,114.53,83.8,40,2,7.56,clear sky
122,Fairbanks,US,64.8378,-147.7164,61.61,73,75,10.36,broken clouds
123,Ballina,AU,-28.8667,153.5667,54.01,99,100,10.54,light rain
124,San Andres,CO,12.5847,-81.7006,82.42,83,75,12.66,broken clouds
125,Hammerfest,NO,70.6634,23.6821,50.45,100,100,4.61,mist
126,Marsh Harbour,BS,26.5412,-77.0636,81.59,76,5,11.25,clear sky
127,Kieta,PG,-6.2167,155.6333,84.13,69,84,5.55,broken clouds
128,Buenos Aires,AR,-34.6132,-58.3772,47.93,63,0,3.44,clear sky
129,Dromolaxia,CY,34.8761,33.586,92.86,27,0,3.44,clear sky
130,Lannion,FR,48.75,-3.4167,79.34,83,33,4.0,scattered clouds
131,Ouadda,CF,8.0777,22.4007,66.83,99,100,0.31,moderate rain
132,Arraial Do Cabo,BR,-22.9661,-42.0278,69.19,90,100,13.22,overcast clouds
133,Tura,IN,25.5198,90.2201,80.85,80,100,7.09,overcast clouds
134,Bambous Virieux,MU,-20.3428,57.7575,71.85,64,40,21.85,light rain
135,Iqaluit,CA,63.7506,-68.5145,38.93,93,100,9.22,overcast clouds
136,Xunchang,CN,28.4543,104.715,76.23,75,100,2.21,overcast clouds
137,Lincoln,US,40.8,-96.667,79.29,78,0,11.5,clear sky
138,Tuatapere,NZ,-46.1333,167.6833,44.31,86,99,8.1,overcast clouds
139,Mount Vernon,US,40.9126,-73.8371,80.22,83,75,14.97,broken clouds
140,Cauquenes,CL,-35.9671,-72.3225,41.16,91,65,2.24,broken clouds
141,Isangel,VU,-19.55,169.2667,79.3,75,74,9.01,broken clouds
142,Verkhniy Baskunchak,RU,48.2256,46.7217,73.71,36,58,9.19,broken clouds
143,Dombas,NO,62.0696,9.1235,50.56,79,42,3.24,scattered clouds
144,Lebu,CL,-37.6167,-73.65,43.45,82,85,3.76,overcast clouds
145,Pradopolis,BR,-21.3594,-48.0656,64.58,61,70,3.91,broken clouds
146,Norman Wells,CA,65.282,-126.8329,64.44,68,75,8.05,broken clouds
147,Roma,US,43.2128,-75.4557,71.08,93,75,13.8,broken clouds
148,Hemnesberget,NO,66.2333,13.6333,51.58,93,100,3.18,overcast clouds
149,Zhicheng,CN,30.2956,111.5047,86.54,77,80,4.79,broken clouds
150,Thompson,CA,55.7435,-97.8558,64.56,77,40,2.3,scattered clouds
151,Bonavista,CA,48.6499,-53.1147,59.65,91,56,15.43,broken clouds
152,Port Blair,IN,11.6667,92.75,85.55,72,93,10.89,overcast clouds
153,Bengkulu,ID,-3.8004,102.2655,84.49,67,38,5.46,scattered clouds
154,Dwarka,IN,22.2394,68.9678,83.23,81,83,14.12,broken clouds
155,Port Moresby,PG,-9.4431,147.1797,83.62,79,75,17.27,haze
156,Coracora,PE,-15.0333,-73.7833,48.74,60,100,4.16,overcast clouds
157,Torbay,CA,47.6666,-52.7314,65.17,81,75,11.5,broken clouds
158,Taguatinga,BR,-12.3857,-46.5711,72.95,50,0,10.18,clear sky
159,Malanje,AO,-9.5402,16.341,57.96,96,4,1.25,clear sky
160,Gigmoto,PH,13.7796,124.39,86.92,67,52,7.47,broken clouds
161,Mahebourg,MU,-20.4081,57.7,72.25,64,40,21.85,scattered clouds
162,Gat,IL,31.61,34.7642,87.4,100,0,0.69,clear sky
163,Yeppoon,AU,-23.1333,150.7333,74.98,66,0,9.71,clear sky
164,Kailua,US,21.4022,-157.7394,80.58,77,40,12.66,scattered clouds
165,Penzance,GB,50.1186,-5.5371,65.08,83,100,1.14,overcast clouds
166,Zeya,RU,53.75,127.2667,73.35,85,100,2.62,light rain
167,Port Elizabeth,ZA,-33.918,25.5701,60.31,95,0,4.61,clear sky
168,Saint-Augustin,CA,51.226,-58.6502,59.0,77,21,3.51,few clouds
169,Barrow,US,71.2906,-156.7887,42.82,75,100,14.97,overcast clouds
170,Amahai,ID,-3.3333,128.9167,77.23,90,94,6.33,overcast clouds
171,Cabedelo,BR,-6.9811,-34.8339,72.27,86,41,13.69,scattered clouds
172,Quatre Cocos,MU,-20.2078,57.7625,72.09,71,71,23.69,light rain
173,Baherden,TM,38.4362,57.4316,98.6,12,0,8.23,clear sky
174,Nishihara,JP,26.1842,127.7558,91.06,84,75,11.5,broken clouds
175,Bykovo,RU,55.6361,38.0803,60.53,67,0,8.95,clear sky
176,Lavrentiya,RU,65.5833,-171.0,40.24,69,77,17.9,broken clouds
